timestamp,ConcentrateFlow,ConcentratePressure,DifferentialPressure,FeedConductivity,FeedFlow,FeedPressure,FeedTemperature,PermeatePressure,PermeateConductivity,PermeateFlow,Recovery
2021-12-07 00:00:00,119.06,254.43,59.81,238.88,387.86,273.32,83.62,33.44,2.68,269.62,69.43
2021-12-07 00:05:00,119.28,254.41,59.79,239.05,388.58,273.16,83.74,33.41,2.69,270.18,69.4
2021-12-07 00:10:00,118.85,254.04,59.79,239.12,386.96,272.95,83.77,33.32,2.7,269.19,69.4
2021-12-07 00:15:00,118.63,253.05,59.74,239.23,388.43,271.84,84.44,33.04,2.64,270.78,69.57
2021-12-07 00:20:00,118.83,254.35,59.8,239.22,387.7,273.3,84.07,33.18,2.67,269.94,69.42
2021-12-07 00:25:00,118.79,255.12,60.16,239.25,388.0,273.34,84.27,33.05,2.72,270.31,69.41
2021-12-07 00:30:00,119.31,254.0,59.87,239.05,388.27,273.21,83.38,33.12,2.69,270.2,69.37
2021-12-07 00:35:00,120.01,255.15,59.91,239.05,389.23,274.06,82.67,33.05,2.65,270.04,69.24
2021-12-07 00:40:00,119.28,255.94,60.09,238.98,388.23,274.99,82.85,33.16,2.67,269.87,69.33
2021-12-07 00:45:00,119.64,256.71,60.12,238.67,388.9,275.38,82.92,33.22,2.71,270.04,69.31
2021-12-07 00:50:00,120.03,258.76,60.43,238.3,389.81,277.53,82.2,33.19,2.78,270.61,69.23
2021-12-07 00:55:00,120.33,259.45,60.67,238.25,389.17,278.2,82.47,33.16,2.82,269.68,69.11
2021-12-07 01:00:00,120.88,259.27,60.38,238.25,390.5,278.1,82.56,33.22,2.78,270.48,69.09
2021-12-07 01:05:00,120.62,259.79,60.68,238.13,390.43,278.99,82.29,33.15,2.78,270.75,69.16
2021-12-07 01:10:00,120.57,257.93,60.56,238.12,390.69,276.65,82.52,33.18,2.79,271.26,69.28
2021-12-07 01:15:00,120.4,258.61,60.57,238.2,389.43,277.57,83.17,33.13,2.79,270.08,69.21
2021-12-07 01:20:00,120.76,260.08,60.72,238.2,390.3,278.87,83.2,33.03,2.76,270.8,69.15
2021-12-07 01:25:00,120.77,259.56,60.66,238.17,389.03,278.59,83.43,33.21,2.77,269.34,69.12
2021-12-07 01:30:00,120.16,259.14,60.71,238.23,391.1,278.44,83.28,33.2,2.76,271.78,69.32
